product,year,tons,lntons
corn,1997,356895.0295704231,12.785197
soybean_meal,1997,9965945.190473899,16.114685
soybeans,1997,8195025.112047754,15.919038
corn,1998,6033.643014732748,8.7051058
soybean_meal,1998,9947875.080440462,16.112869
soybeans,1998,8679492.314461291,15.976474
corn,1999,5321.076022166759,8.5794306
soybean_meal,1999,10050065.95468763,16.123089
soybeans,1999,8096035.093299493,15.906885
corn,2000,5554.75597754214,8.6224098
soybean_meal,2000,9055434.869302824,16.018875
soybeans,2000,10725123.67635882,16.188099
corn,2001,5410198.851197248,15.503797
soybean_meal,2001,10582493.22483632,16.174711
soybeans,2001,14486901.87264291,16.488756
corn,2002,2727390.117463797,14.818855
soybean_meal,2002,11866231.59244847,16.289207
soybeans,2002,14806489.79215622,16.510576
corn,2003,3509735.486007005,15.071052
soybean_meal,2003,13013401.29591894,16.381491
soybeans,2003,18391117.26798153,16.727379
corn,2004,4892188.474844171,15.403151
soybean_meal,2004,13708360.57394588,16.433516
soybeans,2004,17186093.03049624,16.659611
corn,2005,1069451.561995077,13.882656
soybean_meal,2005,14328459.90570208,16.477758
soybeans,2005,22063406.1035956,16.909431
corn,2006,3936309.606817493,15.185754
soybean_meal,2006,12314135.90849626,16.326258
soybeans,2006,24869625.02343426,17.029158
corn,2007,10907483.20727589,16.20496
soybean_meal,2007,12474182.24388504,16.339172
soybeans,2007,23664738.99403388,16.979496
corn,2008,6430380.607227689,15.676544
soybean_meal,2008,12279595.09565397,16.32345
soybeans,2008,24499404.6842969,17.01416
corn,2009,7781248.360835584,15.867228
soybean_meal,2009,12249790.08232354,16.32102
soybeans,2009,28560702.39244364,17.167542
corn,2010,10759314.74192217,16.191282
soybean_meal,2010,13666099.15093109,16.430429
soybeans,2010,29053431.39828626,17.184647
corn,2011,9479281.10419181,16.064619
soybean_meal,2011,14334869.88756219,16.478205
soybeans,2011,32975539.8374887,17.311277
corn,2012,19796146.94421989,16.800999
soybean_meal,2012,14289041.87062114,16.475004
soybeans,2012,32891806.72274831,17.308735
corn,2013,26620465.92302487,17.097191
soybean_meal,2013,13333544.93940209,16.405794
soybeans,2013,42795074.25178337,17.571934
corn,2014,20630221.21708513,16.842268
soybean_meal,2014,13716322.56831096,16.434097
soybeans,2014,45687180.4356724,17.637329
corn,2015,28900376.72767314,17.179365
soybean_meal,2015,14826596.38040397,16.511932
soybeans,2015,54303483.37584218,17.810099
corn,2016,21864440.92657057,16.900372
soybean_meal,2016,14443791.51388339,16.485775
soybeans,2016,51573806.87783644,17.758524
corn,2017,29255329.79995849,17.191572
soybean_meal,2017,14176743.73302108,16.467113
soybeans,2017,68006592.91911197,18.035114
corn,2018,22747267.85350259,16.939955
soybean_meal,2018,16669975.84662128,16.62912
soybeans,2018,82147435.5613676,18.224026
corn,2019,41831922.77704076,17.54917
soybean_meal,2019,16530380.77707093,16.62071
soybeans,2019,70300144.85340451,18.068285
