date,product,usd,tons
1997-01-01,soybean_meal,133239012,486775.0579528809
1997-01-01,soybean_oil,34717077,66915.87200927734
1997-01-01,soybeans,4118740,14030
1997-02-01,soybean_meal,47590539,176535.7164285183
1997-02-01,soybean_oil,18351677,34560.97802114487
1997-02-01,soybeans,4896148,17095
1997-03-01,soybean_meal,152682096,575665.5228300095
1997-03-01,soybean_oil,11659979,21486.51905822754
1997-03-01,soybeans,156200973,550157.5563964844
1997-04-01,soybean_meal,324619851,1208243.60017395
1997-04-01,soybean_oil,84030219,161242.6664428711
1997-04-01,soybeans,460037403,1589692.914123535
1997-05-01,soybean_meal,344844289,1269342.621231079
1997-05-01,soybean_oil,81412001,156071.8789978027
1997-05-01,soybeans,487264543,1644029.734939575
1997-06-01,soybean_meal,356289902,1326600.332552344
1997-06-01,soybean_oil,105427481,196700.9765506685
1997-06-01,soybeans,390852799,1330193.185043335
1997-07-01,soybean_meal,347168294,1312065.519286349
1997-07-01,soybean_oil,94709865,182593.0500826836
1997-07-01,soybeans,482321713,1628400.332351685
1997-08-01,soybean_meal,325183699,1224774.022722244
1997-08-01,soybean_oil,56148815,105158.6268768311
1997-08-01,soybeans,286584982,971753.0470123291
1997-09-01,soybean_meal,271004976,1005997.800416946
1997-09-01,soybean_oil,64017642,121365.294198513
1997-09-01,soybeans,102112390,342145.3484752029
1997-10-01,soybean_meal,178549484,679404.3734130859
1997-10-01,soybean_oil,14242999,25051.27679204941
1997-10-01,soybeans,31773507,104099.693730101
1997-11-01,soybean_meal,65632243,250533.0145263672
1997-11-01,soybean_oil,10297607,17177.85499191284
1997-11-01,soybeans,1127542,3164.179975509644
1997-12-01,soybean_meal,121373087,450007.6089401245
1997-12-01,soybean_oil,17307051,29126.18099015951
1997-12-01,soybeans,118429,264.1199999973178
1998-01-01,soybean_meal,78284388,305397.7320802808
1998-01-01,soybean_oil,13601299,21378.94499588013
1998-01-01,soybeans,681933,1624.159975588322
1998-02-01,soybean_meal,50857087,213314.4892120361
1998-02-01,soybean_oil,5565833,9380.868993759155
1998-02-01,soybeans,164272,418.3999996185303
1998-03-01,soybean_meal,102808243,489069.6700195074
1998-03-01,soybean_oil,26899865,46036.2459859848
1998-03-01,soybeans,95925349,387346.0365905762
1998-04-01,soybean_meal,171906111,922954.8039245605
1998-04-01,soybean_oil,92672299,155772.6114851087
1998-04-01,soybeans,424106980,1774592.909072876
1998-05-01,soybean_meal,225452693,1298063.591156006
1998-05-01,soybean_oil,65272111,105447.2141128778
1998-05-01,soybeans,414480227,1760372.269821167
1998-06-01,soybean_meal,220038463,1356621.105113983
1998-06-01,soybean_oil,136442734,221941.5707446337
1998-06-01,soybeans,322459583,1373378.01002121
1998-07-01,soybean_meal,159810096,1002344.839698792
1998-07-01,soybean_oil,139993441,228492.6929563284
1998-07-01,soybeans,248608724,1066702.511825562
1998-08-01,soybean_meal,146513400,948021.1507332325
1998-08-01,soybean_oil,79562482,135049.8430036306
1998-08-01,soybeans,185973137,814345.222442627
1998-09-01,soybean_meal,193174629,1275050.789587021
1998-09-01,soybean_oil,82352213,135076.4161691666
1998-09-01,soybeans,206455010,898639.8648290634
1998-10-01,soybean_meal,111455596,766031.2936310768
1998-10-01,soybean_oil,36131853,58689.14499664307
1998-10-01,soybeans,85270743,373400.4177856445
1998-11-01,soybean_meal,116685865,767872.5161132813
1998-11-01,soybean_oil,60025976,96906.84660124779
1998-11-01,soybeans,38660803,166280.6923217773
1998-12-01,soybean_meal,94180740,603133.0991706848
1998-12-01,soybean_oil,53060805,85907.67210364342
1998-12-01,soybeans,13282433,62391.81977558136
1999-01-01,soybean_meal,115200364,727099.2726268768
1999-01-01,soybean_oil,37921236,64680.24900484085
1999-01-01,soybeans,9115549,39262.48657226563
1999-02-01,soybean_meal,65742726,422454.5557832718
1999-02-01,soybean_oil,45519028,78706.4649733305
1999-02-01,soybeans,28385880,142741.7402954102
1999-03-01,soybean_meal,42399821,304464.899269104
1999-03-01,soybean_oil,48466623,93189.98901289701
1999-03-01,soybeans,86905889,475229.2368164063
1999-04-01,soybean_meal,82111862,610451.4573059082
1999-04-01,soybean_oil,57902908,130490.2483114004
1999-04-01,soybeans,265068404,1458215.500213623
1999-05-01,soybean_meal,167538571,1227594.336242676
1999-05-01,soybean_oil,97306671,217254.5240027905
1999-05-01,soybeans,296808388,1652974.402740479
1999-06-01,soybean_meal,156993288,1173726.709582925
1999-06-01,soybean_oil,120588700,274945.6255900711
1999-06-01,soybeans,227177804,1302715.058185577
1999-07-01,soybean_meal,136779885,1020239.895092785
1999-07-01,soybean_oil,13757904,33607.60399898887
1999-07-01,soybeans,188627275,1074759.277824402
1999-08-01,soybean_meal,110470984,800516.2387084961
1999-08-01,soybean_oil,65205978,160448.7453641891
1999-08-01,soybeans,124679129,720649.5377725363
1999-09-01,soybean_meal,129545475,917439.5173339844
1999-09-01,soybean_oil,38892326,96651.1649980545
1999-09-01,soybeans,112784341,640908.9432163239
1999-10-01,soybean_meal,178072887,1193795.84197998
