countrycode,year,rgdpe,rgdpo,pop,emp,avh,hc,cgdpe,cgdpo,ck,ctfp,rgdpna,rkna,rtfpna,labsh,xr,pl_gdpe,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_k,id
CAN,1950,135857.11,160678.98,13.99007888638686,5.0223379,2079.96,2.4592862,136245.03,139122.63,296646.88,1.0238979,150703.7067253114,224613.98,.84333479,.67208862,1.092548529622273,.13012151,.12743011,Extrapolated,Extrapolated,Market,Regular,.66137922,.22584091,.086272083,.23220204,-.19876982,-.0069244951,.1247030364740769,.1354209238221001,.1577880223186532,.094668157,.10233915,.15538296,CAN
CAN,1951,140927.78,166645.8,14.30884557935462,5.0631895,2070.24,2.4769177,142444.83,143928.77,318310.13,.99740565,157290.1847556689,237758.86,.85512298,.67208862,1.05646459160819,.14989795,.14835247,Extrapolated,Extrapolated,Market,Regular,.64072168,.23439001,.11275765,.26488054,-.24975282,-.0029970817,.1428314903022334,.1565131206407295,.1763006088160604,.10108132,.10433104,.18316585,CAN
CAN,1952,154104.11,181075.58,14.76306163223829,5.147995,2060.57,2.4946756,156798.63,158024.61,337839.78,1.0440351,170464.9369990687,250586.67,.89648926,.67208862,.9816899063452106,.16558482,.16430019,Extrapolated,Extrapolated,Market,Regular,.62909228,.21926005,.12502488,.2565124,-.22384924,-.0060403929,.1559493627821394,.1731550194869997,.2007917896097381,.11200266,.10995769,.20396534,CAN
CAN,1953,161854.58,189835.97,15.16024669099212,5.2085352,2050.94,2.5125608,164735.11,166396.63,359021.94,1.0422632,178861.7194263313,266137.66,.91065824,.67208862,.9857994679391916,.16450624,.16286361,Extrapolated,Extrapolated,Market,Regular,.64044052,.23677613,.1229936,.22949301,-.21488146,-.014821803,.1543820649620452,.1714350925388122,.203885077297296,.11400997,.118334,.19935018,CAN
CAN,1954,160895.91,189607.52,15.61242684981383,5.2836013,2041.36,2.5305743,163104.27,165211.39,370373.16,1.0137038,176854.6556037772,277778.13,.8751778,.67208862,.9760768771362996,.16861777,.16646719,Extrapolated,Extrapolated,Market,Regular,.66676712,.20497696,.11928946,.22023205,-.20160876,-.0096568763,.1580584355780891,.1766523318918432,.2138331139001214,.1154763,.1213375,.20534335,CAN
CAN,1955,176321.41,206413.05,16.02590704887718,5.3411193,2031.82,2.5487168,177880.2,177984.33,389718.75,1.0248109,193193.8481763915,293475.19,.92768222,.67208862,.9889066581852389,.16829737,.16819891,Extrapolated,Extrapolated,Market,Regular,.66779572,.22819777,.11430047,.21445712,-.21271908,-.012032023,.1570483859091159,.1774609003576422,.2157243494036771,.12165711,.12174445,.20563252,CAN
CAN,1956,191497.08,223264.59,16.42003676882297,5.3880348,2022.33,2.5665021,192800.19,192239.31,429660.06,1.0796182,211082.1708929463,315060.5,.97986901,.67208862,.9868017796824781,.1750547,.17556544,Extrapolated,Extrapolated,Market,Regular,.65986925,.26731455,.10950276,.2112404,-.22653615,-.021390842,.1612137030866074,.1870719467561685,.2291250146320768,.12711856,.1280524,.21344699,CAN
CAN,1957,195051.8,229248.19,16.9842430218424,5.4858308,2012.88,2.5806901,196456.19,196825.63,457069.34,1.0628281,216448.6692563461,334583.44,.96972811,.67208862,.9616430754330081,.18462843,.18428189,Extrapolated,Extrapolated,Market,Regular,.66527539,.25423077,.1062449,.20500666,-.21415113,-.01660662,.171495374891263,.1939683238029023,.2445146598379171,.13164221,.13554989,.22241926,CAN
CAN,1958,198639.36,234513.95,17.43540473439477,5.5418921,2003.47,2.5949566,200515.7,202724.2,470780.25,1.0744224,220026.3399933905,351327,.95992839,.67208862,.9736712931896234,.18494603,.18293121,Extrapolated,Extrapolated,Market,Regular,.67077237,.23161444,.10707629,.19032493,-.18235251,-.017435528,.1733434455143246,.1899122492222103,.2468874350002777,.13407169,.14308923,.2220203,CAN
CAN,1959,207770.7,243196.77,17.844810149904,5.5802555,1994.11,2.6093023,209256.28,211057.59,493014.53,1.0495178,228970.4936095012,369729.28,.97420496,.67208862,.9621444101185923,.19028999,.18866593,Extrapolated,Extrapolated,Market,Regular,.67805475,.23961869,.1017196,.18895331,-.188481,-.019865362,.1780413108404788,.1958312331818164,.2588852133707339,.13842252,.14708027,.23002309,CAN
