country,pct_country
Iran,17.046398
Japan,9.6205359
Vietnam,8.1799698
Taiwan,7.4700074
South Korea,7.4223127
Egypt,6.9274516
Malaysia,5.3911881
Spain,4.7396088
Morocco,3.5831785
Saudi Arabia,3.4094722
Bangladesh,2.8696036
Algeria,2.7566469
Indonesia,2.6032548
Netherlands,2.1414847
Dominican Republic,1.9568907
Colombia,1.9175094
Portugal,1.6190164
United States,1.2428296
Mexico,1.0189979
Venezuela,.89793289
Cuba,.78206956
Paraguay,.71566361
United Arab Emirates,.57327557
Tunisia,.56044358
Jordan,.54879338
Israel,.52759409
Peru,.50690168
Ireland,.4377504
South Africa,.38626552
Yemen,.35134396
Italy,.34245959
Guatemala,.32947192
China,.31196734
Kuwait,.29322761
Costa Rica,.28391916
Libya,.28044149
Ecuador,.25869495
El Salvador,.24561179
Austria,.22449355
Puerto Rico,.21720874
Syria,.2086003
Lebanon,.17887104
Argentina,.16852696
Nicaragua,.14752801
Oman,.14216864
Panama,.13824913
United Kingdom,.12901868
Philippines,.10386267
Senegal,.10277716
Angola,.084950969
Turkey,.073009297
Belgium,.070310801
Nigeria,.070232861
Honduras,.068256542
Jamaica,.068157658
North Korea,.057418428
Bolivia,.054737791
France,.050121278
Germany,.045393664
Thailand,.040800724
Canada,.040248111
Liberia,.036385972
"Turks and Caicos, Islands",.031279456
Singapore,.030798404
India,.030430332
Chile,.0297498
Afghanistan,.029376719
Pakistan,.024972543
Denmark,.024347527
Iceland,.017983973
Uruguay,.016307104
Trinidad and Tobago,.0086467322
Sudan,.0060489196
Myanmar,.0056331679
Martinique,.0052356143
Virgin Islands (UK),.0052050329
Russia,.0051070685
Cote D'Ivore,.0046816734
Guyana,.0037177212
Nepal,.0036810248
Togo,.002554873
Belize,.0025182792
Benin,.0022773182
Niger,.0022249059
Cameroon,.0022087279
Hong Kong,.0020609242
Ghana,.0019397554
Democratic Republic of the Congo,.0018341538
Mauritania,.0017898848
Bulgaria,.001664202
Kenya,.0014123842
Armenia,.0013389814
Ethiopia,.0012337102
Greece,.00074380485
Sierra Leone,.00069093972
Mali,.00067877822
Iraq,.00063099986
Romania,.00062657753
Equatorial Guinea,.00054217823
Congo,.00054012984
Gambia,.00038580497
Poland,.00037973095
Australia,.00030633446
Montenegro,.00025818581
French Guyana,.00022405968
Mozambique,.00022078985
Cape Verde,.00015390771
Tuvalu,.00010828846
Suriname,.000077454912
Curaçao,.0000595124
Zambia,.000010287509
Marshall Islands,4.4195240e-06
São Tome and Principe,2.8302843e-06
Malta,2.2810168e-06
Luxembourg,1.9715619e-06
Switzerland,1.8000316e-06
Cyprus,1.5356554e-06
Haiti,1.5256135e-06
Cambodia,1.4878100e-06
Bahamas,1.0526958e-06
Norway,5.0541132e-07
Bahrein,2.1053916e-07
Isle of Man,1.9650321e-07
Cayman Islands,1.5439538e-07
