product,year,usd,tons
soybean_meal,1997,2668177472,9965945.190473899
soybean_oil,1997,592322413,1117451.175012141
soybeans,1997,2407409169,8195025.112047754
soybean_meal,1998,1671167311,9947875.080440462
soybean_oil,1998,791580911,1300080.072148904
soybeans,1998,2036069194,8679492.314461291
soybean_meal,1999,1449394226,10050065.95468763
soybean_oil,1999,666133634,1501525.629922524
soybeans,1999,1446486458,8096035.093299493
soybean_meal,2000,1593460148,9055434.869302824
soybean_oil,2000,355433301,1060952.726978064
soybeans,2000,2037500854,10725123.67635882
soybean_meal,2001,1938410021,10582493.22483632
soybean_oil,2001,470331731,1540760.710781161
soybeans,2001,2520456895,14486901.87264291
soybean_meal,2002,2086107522,11866231.59244847
soybean_oil,2002,741119304,1848337.884356186
soybeans,2002,2816431052,14806489.79215622
soybean_meal,2003,2489093135,13013401.29591894
soybean_oil,2003,1179853317,2381000.413477235
soybeans,2003,3962945526,18391117.26798153
soybean_meal,2004,3089578879,13708360.57394588
soybean_oil,2004,1372666801,2498384.980183324
soybeans,2004,4837416054,17186093.03049624
soybean_meal,2005,2847845327,14328459.90570208
soybean_oil,2005,1252783075,2667365.968992381
soybeans,2005,5260362393,22063406.1035956
soybean_meal,2006,2415715828,12314135.90849626
soybean_oil,2006,1222656716,2407099.283327594
soybeans,2006,5643318867,24869625.02343425
soybean_meal,2007,2957016563,12474182.24388504
soybean_oil,2007,1718749145,2341277.588602871
soybeans,2007,6683419998,23664738.99403388
soybean_meal,2008,4361024917,12279595.09565397
soybean_oil,2008,2669129952,2314671.305060849
soybeans,2008,10952122566,24499404.6842969
soybean_meal,2009,4591397119,12249790.08232354
soybean_oil,2009,1227756434,1587745.98738553
soybeans,2009,11423297487,28560702.39244364
soybean_meal,2010,4718533240,13666099.15093109
soybean_oil,2010,1347651053,1559768.213309504
soybeans,2010,11035662338,29053431.39828625
soybean_meal,2011,5689413944,14334869.88756219
soybean_oil,2011,2121979774,1736493.143174775
soybeans,2011,16321952618,32975539.8374887
soybean_meal,2012,6595457444,14289041.87062114
soybean_oil,2012,2066567594,1753823.324199393
soybeans,2012,17442053130,32891806.72274832
soybean_meal,2013,6787267980,13333544.93940209
soybean_oil,2013,1362679255,1359555.902692487
soybeans,2013,22811507219,42795074.25178338
soybean_meal,2014,7000579844,13716322.56831096
soybean_oil,2014,1128078244,1303600.337823248
soybeans,2014,23275036426,45687180.43567242
soybean_meal,2015,5821009079,14826596.38040397
soybean_oil,2015,1153974925,1669874.184295757
soybeans,2015,20975672739,54303483.37584218
soybean_meal,2016,5192780725,14443791.51388339
soybean_oil,2016,897518331,1253542.302249401
soybeans,2016,19328432149,51573806.87783644
soybean_meal,2017,4973223446,14176743.73302108
soybean_oil,2017,1030942099,1342365.392466835
soybeans,2017,25662801909,68006592.91911198
soybean_meal,2018,6624036364,16669975.84662128
soybean_oil,2018,1025231907,1414356.113128967
soybeans,2018,32619856907,82147435.56136762
soybean_meal,2019,5796673823,16530380.77707093
soybean_oil,2019,688279611,1031289.621358798
soybeans,2019,24738766153,70300144.85340448
